game_id,game_play_number,homeTeamName,awayTeamName,home_wp_after,away_wp_after
401756846,1,Kansas State,Iowa State,57.81798958778381,42.18201041221619
401756846,2,Kansas State,Iowa State,59.081852436065674,40.918147563934326
401756846,3,Kansas State,Iowa State,57.7376127243042,42.26238429546356
401756846,4,Kansas State,Iowa State,55.23866415023804,44.7613388299942
401756846,5,Kansas State,Iowa State,55.36792278289795,44.63207721710205
401756846,6,Kansas State,Iowa State,58.087873458862305,41.912126541137695
401756846,7,Kansas State,Iowa State,62.93058395385742,37.06941902637482
401756846,8,Kansas State,Iowa State,48.66141080856323,51.33858919143677
401756846,9,Kansas State,Iowa State,50.86433291435242,49.13566708564758
401756846,10,Kansas State,Iowa State,54.931747913360596,45.068249106407166
401756846,11,Kansas State,Iowa State,46.88599109649658,53.11400890350342
401756846,12,Kansas State,Iowa State,46.405595541000366,53.594404458999634
401756846,13,Kansas State,Iowa State,57.62115716934204,42.37884283065796
401756846,14,Kansas State,Iowa State,55.685657262802124,44.314342737197876
401756846,15,Kansas State,Iowa State,53.04749011993408,46.95250988006592
401756846,16,Kansas State,Iowa State,50.66155195236206,49.33844804763794
401756846,17,Kansas State,Iowa State,52.17399597167969,47.82600402832031
401756846,18,Kansas State,Iowa State,53.60648036003113,46.39351963996887
401756846,19,Kansas State,Iowa State,53.60274910926819,46.39725089073181
401756846,20,Kansas State,Iowa State,58.55361223220825,41.44638776779175
401756846,21,Kansas State,Iowa State,58.01752805709839,41.98247194290161
401756846,22,Kansas State,Iowa State,54.094719886779785,45.905280113220215
401756846,23,Kansas State,Iowa State,51.52307748794556,48.47692251205444
401756846,24,Kansas State,Iowa State,50.963228940963745,49.036771059036255
401756846,25,Kansas State,Iowa State,50.46126842498779,49.53873157501221
401756846,26,Kansas State,Iowa State,51.5233039855957,48.4766960144043
401756846,27,Kansas State,Iowa State,49.28417205810547,50.71582794189453
401756846,28,Kansas State,Iowa State,46.582162380218506,53.417837619781494
401756846,29,Kansas State,Iowa State,40.10462760925293,59.89537239074707
401756846,30,Kansas State,Iowa State,38.07661831378937,61.92338466644287
401756846,31,Kansas State,Iowa State,45.9718257188797,54.02817726135254
401756846,32,Kansas State,Iowa State,42.97320246696472,57.02679753303528
401756846,33,Kansas State,Iowa State,41.273632645606995,58.726370334625244
401756846,34,Kansas State,Iowa State,42.87658631801605,57.12341070175171
401756846,35,Kansas State,Iowa State,41.38377904891968,58.61622095108032
401756846,36,Kansas State,Iowa State,40.68734645843506,59.31265354156494
401756846,37,Kansas State,Iowa State,46.55005633831024,53.44994068145752
401756846,38,Kansas State,Iowa State,43.7855064868927,56.2144935131073
401756846,39,Kansas State,Iowa State,43.18594932556152,56.81405067443848
401756846,41,Kansas State,Iowa State,54.72831726074219,45.27168273925781
401756846,42,Kansas State,Iowa State,54.96003031730652,45.03996968269348
401756846,43,Kansas State,Iowa State,56.90350532531738,43.09649169445038
401756846,44,Kansas State,Iowa State,59.19198989868164,40.80801010131836
401756846,45,Kansas State,Iowa State,68.06253790855408,31.937462091445923
401756846,46,Kansas State,Iowa State,65.21887183189392,34.78112816810608
401756846,47,Kansas State,Iowa State,67.48070120811462,32.519298791885376
401756846,48,Kansas State,Iowa State,64.45783376693726,35.542166233062744
401756846,49,Kansas State,Iowa State,57.54280090332031,42.45719909667969
401756846,50,Kansas State,Iowa State,59.2016875743866,40.7983124256134
401756846,51,Kansas State,Iowa State,61.79814338684082,38.20185959339142
401756846,52,Kansas State,Iowa State,63.14488649368286,36.8551105260849
401756846,53,Kansas State,Iowa State,60.17656326293945,39.82343673706055
401756846,54,Kansas State,Iowa State,57.294970750808716,42.705029249191284
401756846,55,Kansas State,Iowa State,53.97875905036926,46.02124094963074
401756846,56,Kansas State,Iowa State,56.23607635498047,43.76392364501953
401756846,57,Kansas State,Iowa State,64.72899317741394,35.27100682258606
401756846,58,Kansas State,Iowa State,62.1213436126709,37.8786563873291
401756846,59,Kansas State,Iowa State,53.71612310409546,46.28387689590454
401756846,60,Kansas State,Iowa State,56.35874271392822,43.641260266304016
401756846,61,Kansas State,Iowa State,50.71473717689514,49.28526282310486
401756846,62,Kansas State,Iowa State,47.60459661483765,52.39540338516235
401756846,63,Kansas State,Iowa State,50.16586780548096,49.83413517475128
401756846,64,Kansas State,Iowa State,55.12740612030029,44.872596859931946
401756846,65,Kansas State,Iowa State,49.01586174964905,50.98413825035095
401756846,66,Kansas State,Iowa State,50.033020973205566,49.96698200702667
401756846,67,Kansas State,Iowa State,44.035935401916504,55.964064598083496
401756846,68,Kansas State,Iowa State,45.457297563552856,54.542702436447144
401756846,69,Kansas State,Iowa State,48.8500714302063,51.1499285697937
401756846,70,Kansas State,Iowa State,50.60274600982666,49.39725399017334
401756846,71,Kansas State,Iowa State,60.14730930328369,39.85269069671631
401756846,72,Kansas State,Iowa State,59.37873721122742,40.62126278877258
401756846,73,Kansas State,Iowa State,53.76317501068115,46.23682498931885
401756846,74,Kansas State,Iowa State,62.308210134506226,37.691789865493774
401756846,75,Kansas State,Iowa State,62.110209465026855,37.889790534973145
401756846,76,Kansas State,Iowa State,59.41046476364136,40.58953523635864
401756846,77,Kansas State,Iowa State,57.451629638671875,42.548370361328125
401756846,78,Kansas State,Iowa State,58.30211639404297,41.69788360595703
401756846,79,Kansas State,Iowa State,67.40072965621948,32.59927034378052
401756846,80,Kansas State,Iowa State,67.33837127685547,32.66162872314453
401756846,81,Kansas State,Iowa State,68.85132789611816,31.148672103881836
401756846,82,Kansas State,Iowa State,63.61936330795288,36.38063669204712
401756846,83,Kansas State,Iowa State,61.07510328292847,38.92489671707153
401756846,84,Kansas State,Iowa State,55.10938763618469,44.89061236381531
401756846,85,Kansas State,Iowa State,55.118513107299805,44.881486892700195
401756846,86,Kansas State,Iowa State,58.7240993976593,41.2759006023407
401756846,87,Kansas State,Iowa State,59.425437450408936,40.5745655298233
401756846,89,Kansas State,Iowa State,50.162822008132935,49.837177991867065
401756846,90,Kansas State,Iowa State,50.67288279533386,49.32711720466614
401756846,91,Kansas State,Iowa State,54.359716176986694,45.640283823013306
401756846,92,Kansas State,Iowa State,49.74159002304077,50.25840997695923
401756846,93,Kansas State,Iowa State,48.44309091567993,51.55690908432007
401756846,94,Kansas State,Iowa State,50.13110041618347,49.86889958381653
401756846,95,Kansas State,Iowa State,60.81681251525879,39.18318748474121
401756846,96,Kansas State,Iowa State,60.98440885543823,39.01559114456177
401756846,97,Kansas State,Iowa State,56.94435238838196,43.05564761161804
401756846,98,Kansas State,Iowa State,52.338725328445435,47.661274671554565
401756846,99,Kansas State,Iowa State,60.04093885421753,39.95906114578247
401756846,100,Kansas State,Iowa State,62.194037437438965,37.805962562561035
401756846,101,Kansas State,Iowa State,63.96366357803345,36.03633642196655
401756846,102,Kansas State,Iowa State,66.57902002334595,33.42097997665405
401756846,103,Kansas State,Iowa State,65.70302844047546,34.296971559524536
401756846,104,Kansas State,Iowa State,60.7519268989563,39.2480731010437
401756846,105,Kansas State,Iowa State,58.68890881538391,41.31109118461609
401756846,106,Kansas State,Iowa State,49.3926465511322,50.6073534488678
401756846,107,Kansas State,Iowa State,51.14346146583557,48.85653853416443
401756846,108,Kansas State,Iowa State,45.146334171295166,54.853665828704834
401756846,109,Kansas State,Iowa State,47.09501266479492,52.90498733520508
401756846,110,Kansas State,Iowa State,47.74077534675598,52.25922465324402
401756846,111,Kansas State,Iowa State,47.15375304222107,52.84624695777893
401756846,112,Kansas State,Iowa State,50.113821029663086,49.886175990104675
401756846,113,Kansas State,Iowa State,42.888861894607544,57.111138105392456
401756846,114,Kansas State,Iowa State,41.98243021965027,58.01756978034973
401756846,115,Kansas State,Iowa State,40.86195230484009,59.13804769515991
401756846,116,Kansas State,Iowa State,41.469210386276245,58.530789613723755
401756846,117,Kansas State,Iowa State,43.41604709625244,56.58395290374756
401756846,118,Kansas State,Iowa State,24.433791637420654,75.56620836257935
401756846,119,Kansas State,Iowa State,24.00643825531006,75.99356174468994
401756846,120,Kansas State,Iowa State,20.85445523262024,79.14554476737976
401756846,121,Kansas State,Iowa State,25.938966870307922,74.06103610992432
401756846,122,Kansas State,Iowa State,31.52484893798828,68.47515106201172
401756846,124,Kansas State,Iowa State,29.76554036140442,70.23445963859558
401756846,125,Kansas State,Iowa State,30.91588020324707,69.08411979675293
401756846,126,Kansas State,Iowa State,53.82833480834961,46.17166519165039
401756846,127,Kansas State,Iowa State,54.6472430229187,45.35275995731354
401756846,128,Kansas State,Iowa State,46.92782163619995,53.07217836380005
401756846,129,Kansas State,Iowa State,42.62140989303589,57.37859010696411
401756846,130,Kansas State,Iowa State,45.000624656677246,54.999375343322754
401756846,131,Kansas State,Iowa State,38.25253248214722,61.74746751785278
401756846,132,Kansas State,Iowa State,35.70109009742737,64.29890990257263
401756846,133,Kansas State,Iowa State,33.389174938201904,66.6108250617981
401756846,134,Kansas State,Iowa State,36.21596693992615,63.78403306007385
401756846,135,Kansas State,Iowa State,35.386985540390015,64.61301445960999
401756846,136,Kansas State,Iowa State,42.61597394943237,57.38402605056763
401756846,137,Kansas State,Iowa State,28.146374225616455,71.85362577438354
401756846,138,Kansas State,Iowa State,33.46988558769226,66.53011441230774
401756846,139,Kansas State,Iowa State,33.16441476345062,66.83558225631714
401756846,140,Kansas State,Iowa State,27.670738101005554,72.3292589187622
401756846,141,Kansas State,Iowa State,34.45661664009094,65.54338335990906
401756846,142,Kansas State,Iowa State,33.893075585365295,66.10692739486694
401756846,143,Kansas State,Iowa State,30.66786229610443,69.33213472366333
401756846,144,Kansas State,Iowa State,21.482717990875244,78.51728200912476
401756846,145,Kansas State,Iowa State,23.654335737228394,76.3456642627716
401756846,146,Kansas State,Iowa State,17.392557859420776,82.60744214057922
401756846,147,Kansas State,Iowa State,18.111753463745117,81.88824653625488
401756846,148,Kansas State,Iowa State,8.672022819519043,91.32797718048096
401756846,149,Kansas State,Iowa State,6.716262549161911,93.28373670578003
401756846,150,Kansas State,Iowa State,5.2208781242370605,94.77912187576294
401756846,151,Kansas State,Iowa State,26.73662304878235,73.26337695121765
401756846,152,Kansas State,Iowa State,23.107904195785522,76.89209580421448
401756846,153,Kansas State,Iowa State,23.82408380508423,76.17591619491577
401756846,154,Kansas State,Iowa State,19.21899914741516,80.78100085258484
401756846,155,Kansas State,Iowa State,13.131201267242432,86.86879873275757
401756846,156,Kansas State,Iowa State,12.283772230148315,87.71622776985168
401756846,157,Kansas State,Iowa State,8.949995040893555,91.05000495910645
401756846,158,Kansas State,Iowa State,13.55096697807312,86.44903302192688
401756846,159,Kansas State,Iowa State,12.032991647720337,87.96700835227966
401756846,160,Kansas State,Iowa State,13.986444473266602,86.0135555267334
401756846,161,Kansas State,Iowa State,13.949739933013916,86.05026006698608
401756846,162,Kansas State,Iowa State,13.530611991882324,86.46938800811768
401756846,163,Kansas State,Iowa State,4.971325397491455,95.02867460250854
401756846,164,Kansas State,Iowa State,5.037170648574829,94.96282935142517
401756846,165,Kansas State,Iowa State,5.774670839309692,94.22532916069031
401756846,166,Kansas State,Iowa State,0.0,100.0
401756847,1,Kansas,Fresno State,81.89682960510254,18.10317039489746
401756847,2,Kansas,Fresno State,84.21377539634705,15.786224603652954
401756847,3,Kansas,Fresno State,82.97107219696045,17.02892780303955
401756847,4,Kansas,Fresno State,84.5150351524353,15.484964847564697
401756847,5,Kansas,Fresno State,87.51606941223145,12.483930587768555
401756847,6,Kansas,Fresno State,87.46967911720276,12.530320882797241
401756847,7,Kansas,Fresno State,88.33563327789307,11.664366722106934
401756847,8,Kansas,Fresno State,90.06550312042236,9.934496879577637
401756847,9,Kansas,Fresno State,88.84639143943787,11.153608560562134
401756847,10,Kansas,Fresno State,93.55343580245972,6.446564197540283
401756847,11,Kansas,Fresno State,91.51600003242493,8.484000712633133
401756847,12,Kansas,Fresno State,91.45598411560059,8.544015139341354
401756847,13,Kansas,Fresno State,92.06520915031433,7.934791594743729
401756847,14,Kansas,Fresno State,87.35122680664062,12.648771703243256
401756847,15,Kansas,Fresno State,87.63064742088318,12.369351089000702
401756847,16,Kansas,Fresno State,87.95527219772339,12.044728547334671
401756847,17,Kansas,Fresno State,88.23685646057129,11.763143539428711
401756847,18,Kansas,Fresno State,81.43391013145447,18.566088378429413
401756847,19,Kansas,Fresno State,79.97673749923706,20.02326250076294
401756847,20,Kansas,Fresno State,83.75633955001831,16.24366044998169
401756847,21,Kansas,Fresno State,85.81135272979736,14.188647270202637
401756847,22,Kansas,Fresno State,85.37888526916504,14.621114730834961
401756847,23,Kansas,Fresno State,87.12220788002014,12.877792119979858
401756847,24,Kansas,Fresno State,85.77656149864197,14.223438501358032
401756847,25,Kansas,Fresno State,85.36127805709839,14.638721942901611
401756847,26,Kansas,Fresno State,85.00918745994568,14.990812540054321
401756847,27,Kansas,Fresno State,87.15769052505493,12.842309474945068
401756847,28,Kansas,Fresno State,86.97012662887573,13.029873371124268
401756847,29,Kansas,Fresno State,85.01365184783936,14.986348152160645
401756847,30,Kansas,Fresno State,85.22801995277405,14.771980047225952
401756847,31,Kansas,Fresno State,83.4583580493927,16.5416419506073
401756847,32,Kansas,Fresno State,91.1508858203888,8.849114179611206
401756847,33,Kansas,Fresno State,90.96771478652954,9.03228297829628
401756847,34,Kansas,Fresno State,91.52968525886536,8.470314741134644
401756847,35,Kansas,Fresno State,91.63116216659546,8.36883932352066
401756847,36,Kansas,Fresno State,88.32751512527466,11.672482639551163
401756847,37,Kansas,Fresno State,88.77121806144714,11.228779703378677
401756847,39,Kansas,Fresno State,89.85258936882019,10.147412866353989
401756847,40,Kansas,Fresno State,90.56679010391235,9.433208405971527
401756847,41,Kansas,Fresno State,91.43202900886536,8.567970991134644
401756847,42,Kansas,Fresno State,91.36567711830139,8.634322881698608
